ท้องคุ้ง,ต.คลองด่าน อ.บางบ่อ จ.สมุทรปราการ 10550,เขตพื้นที่การศึกษาสมุทรปราการ เขต 2
ท่าพล,ต.ท่าพล อ.เมืองเพชรบูรณ์ จ.เพชรบูรณ์ 67250,เขตพื้นที่การศึกษาเพชรบูรณ์ เขต 1
ท่ากกตาล,ต.ดงมูลเหล็ก อ.เมืองเพชรบูรณ์ จ.เพชรบูรณ์ 67000,เขตพื้นที่การศึกษาเพชรบูรณ์ เขต 1
ท่าข้าม,ต.ท่าข้าม อ.ชนแดน จ.เพชรบูรณ์ 67150,เขตพื้นที่การศึกษาเพชรบูรณ์ เขต 1
ทรัพย์พุทรา,ต.ซับพุทรา อ.ชนแดน จ.เพชรบูรณ์ 67150,เขตพื้นที่การศึกษาเพชรบูรณ์ เขต 1
ทรัพย์พุทราสาขาบ้านคลองกลาง,ต.ซับพุทรา อ.ชนแดน จ.เพชรบูรณ์ 67150,เขตพื้นที่การศึกษาเพชรบูรณ์ เขต 1
ท่ากกแก,ต.ตาลเดี่ยว อ.หล่มสัก จ.เพชรบูรณ์ 67110,เขตพื้นที่การศึกษาเพชรบูรณ์ เขต 2
ท่าโก,ต.ตาลเดี่ยว อ.หล่มสัก จ.เพชรบูรณ์ 67110,เขตพื้นที่การศึกษาเพชรบูรณ์ เขต 2
ท่าดินแดง,ต.ท่าอิบุญ อ.หล่มสัก จ.เพชรบูรณ์ 67110,เขตพื้นที่การศึกษาเพชรบูรณ์ เขต 2
ท่าอิบุญ,ต.ท่าอิบุญ อ.หล่มสัก จ.เพชรบูรณ์ 67110,เขตพื้นที่การศึกษาเพชรบูรณ์ เขต 2
ท่าช้าง,ต.ห้วยไร่ อ.หล่มสัก จ.เพชรบูรณ์ 67110,เขตพื้นที่การศึกษาเพชรบูรณ์ เขต 2
ท่าขาม,ต.ลานบ่า อ.หล่มสัก จ.เพชรบูรณ์ 67110,เขตพื้นที่การศึกษาเพชรบูรณ์ เขต 2
ท่าผู,ต.หินฮาว อ.หล่มเก่า จ.เพชรบูรณ์ 67120,เขตพื้นที่การศึกษาเพชรบูรณ์ เขต 2
ทับเบิกร่วมใจ,ต.วังบาล อ.หล่มเก่า จ.เพชรบูรณ์ 67120,เขตพื้นที่การศึกษาเพชรบูรณ์ เขต 2
ทับเบิกร่วมใจสาขาบ้านนาสะอุ้ง,ต.วังบาล อ.หล่มเก่า จ.เพชรบูรณ์ 67120,เขตพื้นที่การศึกษาเพชรบูรณ์ เขต 2
ท่าข้าม,ต.วังบาล อ.หล่มเก่า จ.เพชรบูรณ์ 67120,เขตพื้นที่การศึกษาเพชรบูรณ์ เขต 2
ท่าโรง,ต.ท่าโรง อ.วิเชียรบุรี จ.เพชรบูรณ์ 67130,เขตพื้นที่การศึกษาเพชรบูรณ์ เขต 3
ทุ่งใหญ่,ต.ท่าโรง อ.วิเชียรบุรี จ.เพชรบูรณ์ 67130,เขตพื้นที่การศึกษาเพชรบูรณ์ เขต 3
ท่าไม้ทอง,ต.ศรีเทพ อ.ศรีเทพ จ.เพชรบูรณ์ 67170,เขตพื้นที่การศึกษาเพชรบูรณ์ เขต 3
ทุ่งเศรษฐี,ต.สระกรวด อ.ศรีเทพ จ.เพชรบูรณ์ 67170,เขตพื้นที่การศึกษาเพชรบูรณ์ เขต 3
ท่าแดง,ต.ท่าแดง อ.หนองไผ่ จ.เพชรบูรณ์ 67140,เขตพื้นที่การศึกษาเพชรบูรณ์ เขต 3
ท่าเยี่ยม,ต.ท่าแดง อ.หนองไผ่ จ.เพชรบูรณ์ 67140,เขตพื้นที่การศึกษาเพชรบูรณ์ เขต 3
ท่าสวาย,ต.ท่าแดง อ.หนองไผ่ จ.เพชรบูรณ์ 67140,เขตพื้นที่การศึกษาเพชรบูรณ์ เขต 3
ท่าด้วง,ต.ท่าด้วง อ.หนองไผ่ จ.เพชรบูรณ์ 67140,เขตพื้นที่การศึกษาเพชรบูรณ์ เขต 3
ทรัพย์เกษตร,ต.บึงสามพัน อ.บึงสามพัน จ.เพชรบูรณ์ 67160,เขตพื้นที่การศึกษาเพชรบูรณ์ เขต 3
ทรัพย์สว่าง,ต.น้ำหนาว อ.น้ำหนาว จ.เพชรบูรณ์ 67260,เขตพื้นที่การศึกษาเพชรบูรณ์ เขต 2
ทางข้าม,ต.วังโป่ง อ.วังโป่ง จ.เพชรบูรณ์ 67240,เขตพื้นที่การศึกษาเพชรบูรณ์ เขต 1
ทุ่งสมอ,ต.ทุ่งสมอ อ.เขาค้อ จ.เพชรบูรณ์ 67270,เขตพื้นที่การศึกษาเพชรบูรณ์ เขต 2
ทุ่งน้อย(มิตรภาพที่ 12),ต.หินกอง อ.เมืองราชบุรี จ.ราชบุรี 70000,เขตพื้นที่การศึกษาราชบุรี เขต 1
ทุ่งกระถิน,ต.ด่านทับตะโก อ.จอมบึง จ.ราชบุรี 70150,เขตพื้นที่การศึกษาราชบุรี เขต 1
ทุ่งแจง,ต.แก้มอ้น อ.จอมบึง จ.ราชบุรี 70150,เขตพื้นที่การศึกษาราชบุรี เขต 1
ทุ่งแฝก,ต.แก้มอ้น อ.จอมบึง จ.ราชบุรี 70150,เขตพื้นที่การศึกษาราชบุรี เขต 1
ทุ่งศาลา,ต.ป่าหวาย อ.สวนผึ้ง จ.ราชบุรี 70180,เขตพื้นที่การศึกษาราชบุรี เขต 1
