สร้าง (สำริต ภู่เงิน อนุสรณ์),ต.บ่อตาโล่ อ.วังน้อย จ.พระนครศรีอยุธยา 13170,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 1
สังซา,ต.บ้านธาตุ อ.เพ็ญ จ.อุดรธานี,เขตพื้นที่การศึกษาอุดรธานี เขต 1
สร้างหลวงสร้างคำ,ต.เชียงหวาง อ.เพ็ญ จ.อุดรธานี 41150,เขตพื้นที่การศึกษาอุดรธานี เขต 1
สะอาดนาพังศรีเจริญ,ต.จอมศรี อ.เพ็ญ จ.อุดรธานี 41150,เขตพื้นที่การศึกษาอุดรธานี เขต 1
สร้างแป้น,ต.สร้างแป้น อ.เพ็ญ จ.อุดรธานี 41150,เขตพื้นที่การศึกษาอุดรธานี เขต 1
สามเหลี่ยม,ต.ทับกุง อ.หนองแสง จ.อุดรธานี 41340,เขตพื้นที่การศึกษาอุดรธานี เขต 2
สว่างปากราง,ต.นายูง อ.นายูง จ.อุดรธานี 41380,เขตพื้นที่การศึกษาอุดรธานี เขต 4
สะอาดนามูล,ต.ห้วยสามพาด อ.ประจักษ์ศิลปาคม จ.อุดรธานี 41110,เขตพื้นที่การศึกษาอุดรธานี เขต 2
ส้าน,ต.น้ำหมาน อ.เมืองเลย จ.เลย 42000,เขตพื้นที่การศึกษาเลย เขต 1
สะอาดลายเหนือ,ต.น้ำสวย อ.เมืองเลย จ.เลย 42000,เขตพื้นที่การศึกษาเลย เขต 1
สูบ,ต.น้ำสวย อ.เมืองเลย จ.เลย 42000,เขตพื้นที่การศึกษาเลย เขต 1
สวนกล้วย,ต.กกทอง อ.เมืองเลย จ.เลย 42000,เขตพื้นที่การศึกษาเลย เขต 1
สงเปือย,ต.ธาตุ อ.เชียงคาน จ.เลย 42110,เขตพื้นที่การศึกษาเลย เขต 1
สาระแพ,ต.หาดทรายขาว อ.เชียงคาน จ.เลย 42110,เขตพื้นที่การศึกษาเลย เขต 1
สงาว,ต.ห้วยพิชัย อ.ปากชม จ.เลย 42150,เขตพื้นที่การศึกษาเลย เขต 1
สองคอน,ต.ปลาบ่า อ.ภูเรือ จ.เลย 42160,เขตพื้นที่การศึกษาเลย เขต 1
สานตม มิตรภาพที่ 101,ต.สานตม อ.ภูเรือ จ.เลย 42160,เขตพื้นที่การศึกษาเลย เขต 1
สงป่าเปลือย,ต.ภูกระดึง อ.ภูกระดึง จ.เลย 42180,เขตพื้นที่การศึกษาเลย เขต 2
สวนปอ,ต.แก่งศรีภูมิ อ.ภูหลวง จ.เลย 42230,เขตพื้นที่การศึกษาเลย เขต 2
สวนห้อมผางาม,ต.ปวนพุ อ.หนองหิน จ.เลย 42190,เขตพื้นที่การศึกษาเลย เขต 2
สร้างพอก,ต.สองห้อง อ.เมืองหนองคาย จ.หนองคาย 43100,เขตพื้นที่การศึกษาหนองคาย เขต 1
สวยหลง,ต.สองห้อง อ.เมืองหนองคาย จ.หนองคาย 43000,เขตพื้นที่การศึกษาหนองคาย เขต 1
สะง้อ,ต.หอคำ อ.บึงกาฬ จ.หนองคาย 43140,เขตพื้นที่การศึกษาหนองคาย เขต 3
สรรเสริญ,ต.หนองเลิง อ.บึงกาฬ จ.หนองคาย 43140,เขตพื้นที่การศึกษาหนองคาย เขต 3
สุขสำราญ,ต.หนองเลิง อ.บึงกาฬ จ.หนองคาย 43140,เขตพื้นที่การศึกษาหนองคาย เขต 3
สร้างคำ,ต.วังชมภู อ.พรเจริญ จ.หนองคาย 43180,เขตพื้นที่การศึกษาหนองคาย เขต 3
สร้างนางขาว,ต.สร้างนางขาว อ.โพนพิสัย จ.หนองคาย 43120,เขตพื้นที่การศึกษาหนองคาย เขต 2
สามหนอง,ต.บัวตูม อ.โซ่พิสัย จ.หนองคาย 43170,เขตพื้นที่การศึกษาหนองคาย เขต 2
สังกะลี-นาขาม,ต.แก้งไก่ อ.สังคม จ.หนองคาย 43160,เขตพื้นที่การศึกษาหนองคาย เขต 1
สังกะลี-นาขาม สาขา หนองแสง,ต.แก้งไก่ อ.สังคม จ.หนองคาย 43160,เขตพื้นที่การศึกษาหนองคาย เขต 1
สมสนุก,ต.บ้านฝาง อ.สระใคร จ.หนองคาย,เขตพื้นที่การศึกษาหนองคาย เขต 1
สามัคคีชัย,ต.พระบาทนาสิงห์ อ.รัตนวาปี จ.หนองคาย 43120,เขตพื้นที่การศึกษาหนองคาย เขต 2
